keyword,cluster,subcluster,source_status,search_volume,keyword_difficulty,intent,CPC,SERP_features,notes
KI-Agenten,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,Also original theme #1 (theme list and discussed-term list both named this exact term)
AI agents,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,Also original theme #2 (theme list and discussed-term list both named this exact term)
KI-Agent,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
AI Agent,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Agenten erstellen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Agent erstellen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Agenten entwickeln,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Agent Entwicklung,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Agent Software,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Agenten Unternehmen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Agentur,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Agenten Agentur,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
AI Agentur,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Lösungen Unternehmen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI für Unternehmen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI für KMU,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI Mittelstand,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
künstliche Intelligenz Unternehmen,KI-Agenten,KI-Agenten / AI,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Automatisierung,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,Also original theme #3 (theme list and discussed-term list both named this exact term)
KI Automatisierung,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,"Near-duplicate of 'KI-Automatisierung' (space vs hyphen) — likely the same intent, kept as a separate row since it's a distinct search string"
KI Automation,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
KI Automatisierung Unternehmen,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Prozesse mit KI automatisieren,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Geschäftsprozesse automatisieren,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Workflow Automatisierung,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Unternehmensprozesse automatisieren,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Automatisierung Agentur,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
Geschäftsautomatisierung,KI-Automatisierung,KI automation,RECOVERED_DISCUSSION_TERM,,,,,,
KI-Beratung,KI-Beratung,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #4. Near-duplicate of 'KI Beratung' below (space vs hyphen) — kept as a separate row since it's a distinct search string
KI Beratung,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
KI Beratung Unternehmen,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
KI Beratung Mittelstand,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
KI Consulting,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
KI Strategie,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
KI Strategie Unternehmen,KI-Beratung,KI consulting,RECOVERED_DISCUSSION_TERM,,,,,,
Chatbots,Chatbots,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #5 (plural/standalone form)
KI Chatbot,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Chatbot erstellen,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Chatbot Agentur,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Chatbot für Unternehmen,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Kundenservice Chatbot,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
WhatsApp Chatbot,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Website Chatbot,Chatbots,Chatbots,RECOVERED_DISCUSSION_TERM,,,,,,
Digital Marketing,Digital Marketing,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #6
Digital Marketing Agentur,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,
Online Marketing Agentur,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,
digitales Marketing,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,
Digital Marketing Bayern,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,
Marketing Agentur Ansbach,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
Online Marketing Ansbach,Digital Marketing,Digital marketing,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
SEO,SEO,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #7
SEO Agentur,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,
SEO Agentur Ansbach,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
Suchmaschinenoptimierung Ansbach,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
SEO Beratung,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,
SEO Unternehmen,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,
lokale SEO Agentur,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local-intent term
Local SEO,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Also original theme #12 ('Local SEO / lokale Suche') — the 'Local SEO' half of that theme; see 'lokale Suche' in the Local SEO / lokale Suche cluster for the other half
SEO Ansbach,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
SEO Nürnberg,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local (Nürnberg)
SEO Fürth,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local (Fürth)
SEO Rothenburg,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local (Rothenburg)
SEO Mittelfranken,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local (Mittelfranken region)
Google Maps SEO,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local-intent / Google Business Profile adjacent
