keyword,cluster,seed_term,intent,search_volume,keyword_difficulty,CPC_USD,SERP_features,notes,source_status
ki agenten,KI-Agenten,KI-Agenten,I,3600,48,2.9,9,,REAL_SEMRUSH_DATA
ki agent,KI-Agenten,KI-Agenten,I,1900,46,2.35,7,,REAL_SEMRUSH_DATA
ki agenter,KI-Agenten,KI-Agenten,I,1900,,2.07,9,spelling variant of 'ki agenter/agentur'; KD not shown by tool,REAL_SEMRUSH_DATA
ki agents,KI-Agenten,KI-Agenten,I,1600,45,2.35,8,,REAL_SEMRUSH_DATA
ki agenten erstellen,KI-Agenten,KI-Agenten,I,1300,30,2.72,9,,REAL_SEMRUSH_DATA
ki beratung,KI-Beratung,KI-Beratung,I,2900,45,8.34,7,,REAL_SEMRUSH_DATA
ki berater,KI-Beratung,KI-Beratung,I,720,30,8.34,8,,REAL_SEMRUSH_DATA
ki-beratung,KI-Beratung,KI-Beratung,C,720,56,7.14,4,"hyphenated variant, distinct SERP from 'ki beratung'",REAL_SEMRUSH_DATA
beratung ki,KI-Beratung,KI-Beratung,C,320,51,2.32,5,,REAL_SEMRUSH_DATA
ki beratung für unternehmen,KI-Beratung,KI-Beratung,I/C,320,50,9.69,7,,REAL_SEMRUSH_DATA
ki chatbot,Chatbots,KI Chatbot,I,3600,70,1.42,9,,REAL_SEMRUSH_DATA
chatbot ki,Chatbots,KI Chatbot,I,720,66,1.48,7,,REAL_SEMRUSH_DATA
ki chatbots,Chatbots,KI Chatbot,I,720,64,1.18,10,,REAL_SEMRUSH_DATA
ki-chatbot,Chatbots,KI Chatbot,I,720,79,1.18,6,"hyphenated variant, distinct SERP",REAL_SEMRUSH_DATA
ki chatbot kostenlos,Chatbots,KI Chatbot,I/C,480,36,0.6,6,'free' modifier — lower commercial value,REAL_SEMRUSH_DATA
digital marketing agentur,Digital Marketing,Digital Marketing Agentur,C,2900,67,6.96,5,,REAL_SEMRUSH_DATA
agentur digital marketing,Digital Marketing,Digital Marketing Agentur,I,320,63,0.0,7,,REAL_SEMRUSH_DATA
agentur für digital marketing,Digital Marketing,Digital Marketing Agentur,C,320,54,5.63,5,,REAL_SEMRUSH_DATA
digital marketing agentur münchen,Digital Marketing,Digital Marketing Agentur,C,320,43,4.02,4,city-specific: München (not DigitalWerk's Ansbach market),REAL_SEMRUSH_DATA
seo agentur,SEO,SEO Agentur,C,22200,51,12.43,4,,REAL_SEMRUSH_DATA
seo agentur berlin,SEO,SEO Agentur,C,4400,19,6.38,4,city-specific: Berlin (not Ansbach),REAL_SEMRUSH_DATA
seo agentur münchen,SEO,SEO Agentur,C,4400,40,15.42,3,city-specific: München (not Ansbach),REAL_SEMRUSH_DATA
seo agentur köln,SEO,SEO Agentur,C,3600,23,7.31,3,city-specific: Köln (not Ansbach),REAL_SEMRUSH_DATA
seo agentur hamburg,SEO,SEO Agentur,I/T,2900,29,10.09,5,city-specific: Hamburg (not Ansbach),REAL_SEMRUSH_DATA
seo agentur ansbach,SEO / Local SEO,SEO Agentur Ansbach,,30,,8.07,,exact DigitalWerk home-market term; low volume but high relevance,REAL_SEMRUSH_DATA
webdesign agentur,Webdesign,Webdesign Agentur,C,9900,51,5.33,6,,REAL_SEMRUSH_DATA
